O*NET-SOC Code,Title,oral_comprehension,oral_expression,fluency_of_ideas,originality,problem_sensitivity,deductive_reasoning,information_ordering,mathematical_reasoning,perceptual_speed,visualization,selective_attention,time_sharing,arm_hand_steadiness,finger_dexterity,multilimb_coordination,response_orientation,rate_control,reaction_time,wrist_finger_speed,speed_of_limb_movement,stamina,extent_flexibility,dynamic_flexibility,sound_localization,speech_clarity,label_ML,probability_ML
13-2011.00,Accountants and Auditors,4.12,4.31,3.31,3.19,3.94,4.37,3.88,4.06,2.94,2.38,3,2.31,0.43,1.44,0,0,0,0,0.5,0,0,0,0,0,3.31,1,
27-2011.00,Actors,4.12,4,3.38,3.38,3.12,3,3,0,1.88,2.5,3.12,2.88,1.75,1.88,2,0,0,0,0.25,0,1.75,1.88,0,0,4.75,0,
15-2011.00,Actuaries,4.75,4.75,3.75,3.5,4.12,4.88,4,5,2.88,2.62,3.38,2.12,0,0.5,0,0,0,0,0.5,0,0,0,0,0,4,NA,
29-1291.00,Acupuncturists,4.12,4.12,3.25,3.12,4.12,4,3.12,2,2.75,2.88,3.12,2.38,3.38,3.5,2.25,0,0.12,0.62,0.75,0.12,1.75,2,0,0,3,NA,
29-1141.01,Acute Care Nurses,4.12,4,3,3,4.75,4,4,2.88,3,2.88,3.12,3,1,2.5,0.88,2,0.38,2,0.38,0.25,1.75,0.62,0,0,3.62,NA,
25-2059.01,Adapted Physical Education Specialists,4.25,4.12,3.5,3.5,3.88,3.88,3.75,2,2.88,2.62,3,2.88,3,2.75,3,2,0,1.25,0.5,1.62,3,3,0.38,0,4,NA,
51-9191.00,Adhesive Bonding Machine Operators and Tenders,3.12,3,1.75,1.75,3,2.75,3,2,3.12,3.12,3.25,2.25,3,3.12,3.62,2.88,3.12,3.38,2.38,1.75,2.62,3.38,0.75,1.12,2.62,NA,
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",5,5,3.12,3,4,4.75,3.75,2.38,2.5,1.25,3,2.62,0.75,1.5,0,0,0,0,0.38,0,0,0,0,0,4.38,NA,
11-3012.00,Administrative Services Managers,4,4,3.12,3.12,3.75,3.88,3.12,2.5,2.38,2.75,3,2.88,2,2.12,1,0.62,0.88,0.88,0.38,0,0.5,0.75,0,0.75,3.5,NA,
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.12,4.25,3.12,3.12,3.5,3.62,3.5,2.75,2.62,2,2.88,2.62,0,1.38,0,0,0,0,0,0,0,0,0,0,3.88,NA,
29-1141.02,Advanced Practice Psychiatric Nurses,4.38,4.75,3.38,3.25,5,4.12,4,2.62,2.88,2.25,2.88,2.62,0.12,1.38,0.38,0.88,0,1.38,0.38,0.12,1.25,0.12,0,0,3.75,NA,
11-2011.00,Advertising and Promotions Managers,4.38,4.75,4.12,3.88,4,4.5,3.75,3.12,2.75,3.12,2.75,2.12,0.5,1.12,0,0,0,0,0.75,0,0,0,0,0,3.88,NA,
41-3011.00,Advertising Sales Agents,4,4,3.88,3.38,3.12,3.62,3.38,2.88,2.62,2.88,2.88,2.88,0.38,1.12,0.88,0.38,0.38,0.38,0.25,0,0,0,0,0.5,4,NA,
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,4.5,4,3.12,3,4.12,4,3.88,3.12,3.38,3.75,3.25,2.75,3,3,2.25,1,1.25,1.62,1.5,0,0.25,2,0,0.12,3,NA,
17-2011.00,Aerospace Engineers,4.88,4.75,4,4.12,4.12,4.75,4,4.75,3.12,3.38,3.12,2.75,0,2,0,0,0,0,0.25,0,0,0,0,0,3.12,NA,
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4.12,4.25,3.38,3.38,3.75,3.88,3,2.5,1.38,1.88,2.75,2.38,0.25,1,0.25,0,0,0,0.38,0,0,0,0,0,3.62,NA,
17-2021.00,Agricultural Engineers,4.12,4.62,3.62,3.5,4.25,4.25,4,4,3.12,3.38,3.12,2.88,1,2.25,1.88,0.75,0.75,1.75,0.38,0,0.62,0.75,0,0.75,3.12,NA,
45-2091.00,Agricultural Equipment Operators,3.5,3.12,2.12,1.38,3,2.88,3,0.88,2.75,2.75,2.88,2.12,2.88,2.88,3.88,3.25,3.12,3.38,2.12,1.88,2.25,3,0.38,2,2.75,NA,
45-2011.00,Agricultural Inspectors,3.88,3.88,2.62,2.5,4,3.88,3,2.25,3.25,3,3.12,2.62,2.75,2.25,2.38,1.62,1.75,2.12,1.25,1.75,1.75,1.88,0,0.88,3,NA,
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5,5.62,3.75,3.75,3.75,4.25,3.88,3.25,2.12,2,2.25,2,1.12,2,1.25,0.5,0.75,0.75,1,0,0.88,1,0,0,5,NA,
19-4012.00,Agricultural Technicians,4,4,3,3,3.75,3.5,3.25,3,2.75,2.62,2.62,2.75,3,3,2.88,1.88,1.88,2.12,1.38,0.88,1.38,1.88,0.25,1.12,3,NA,
